StockCode,popularity_score
21679,138
84352,27
21817,67
22930,193
85031B,1
84809B,2
84842,9
22381,482
21984,219
22751,295
22670,306
22097,166
22844,429
21703,304
84685,23
90209C,36
22232,88
47351B,10
62086A,14
35969,1
45013,2
21474,1
23000,285
82494L,943
90199C,15
21481,513
22618,32
22699,1138
22947,142
21944,101
22953,99
20619,99
21527,173
22215,103
21788,91
22089,276
21397,66
22108,63
90013C,28
85132a,8
22708,101
22287,83
84549,7
84692,603
22555,534
22118,91
22605,307
21709,59
15056bl,62
22354,84
84429A,22
17038,34
84559b,20
90034,2
84922,6
82011A,12
85186C,80
16156L,18
84461,15
22146,2
79331,4
21770,392
22912,103
47570B,33
21063,102
22744,178
22917,249
22300,205
90099,17
22496,81
21439,132
22762,119
84927F,47
79066k,10
84711B,13
85028L,7
gift_0001_10,9
85224,2
21934,413
15056BL,326
21098,275
22276,88
22946,147
21896,117
21355,129
22733,201
21114,144
47503J,2
17109D,6
84051,27
21131,28
90064A,6
21210,463
21260,170
84596E,82
85019A,33
20665,159
22475,143
22681,137
90118,20
90037C,5
22997,235
22632,415
20820,3
22152,113
22295,261
22854,167
22667,500
22402,158
82582,446
90214E,30
21380,294
85159A,53
21945,106
21819,136
46776E,38
85094,91
22057,65
22229,104
46000U,27
22978,251
37488A,4
21949,145
21872,149
84597C,15
21319,21
22954,42
20934,37
16207A,36
22379,760
22449,147
21544,176
20931,71
21110,138
84077,542
21399,77
47556B,4
84358,13
22684,110
21647,31
84596b,5
44235,16
20826,10
22407,25
84968f,1
84806B,20
22999,232
72781,1
22537,175
21955,210
22179,299
85231G,85
20977,194
22099,165
22364,186
21803,202
22071,94
21158,180
22794,186
21528,124
21011,4
85130D,63
22690,293
47480,88
DCGS0076,2
22270,59
35607A,3
72225C,19
90142A,1
22267,85
22967,143
84611B,2
23187,80
85030,7
22193,472
22195,382
22909,640
47504H,119
35598B,25
22459,28
22586,165
84341B,43
90178A,8
21499,220
21925,70
85055,16
21446,117
21696,36
22282,100
90160C,26
35833P,24
22611,47
20849,1
90055,5
85197,23
85024B,12
84879,1502
84580,168
84988,515
21067,87
21377,41
82494l,61
22344,77
37447,121
85125,36
85032A,136
90162C,7
22709,39
21926,62
10134,1
21411,247
21794,109
22380,297
85038,149
21288,114
21684,49
72803b,1
22339,91
85179A,59
22495,100
22937,168
90091,1
90176A,3
84877A,5
21931,1214
22457,1280
85099B,2159
21622,114
22187,197
22547,103
84913A,125
22795,376
22421,217
20674,209
22702,49
22609,159
85034B,124
21635,18
22858,142
90024E,2
35607B,8
37444C,13
22427,529
22867,576
20979,345
21143,44
90214V,14
22029,531
21265,19
84968B,4
22932,74
85035a,2
20654,50
15058A,95
85194S,75
22805,200
21773,164
21383,176
72801D,18
21900,380
84539,3
84660b,2
90040A,5
90032,8
21631,27
21213,678
22716,289
22294,317
84884A,79
22725,453
22756,123
84970s,66
22251,143
20702,44
22340,131
84415B,5
84247L,20
20705,29
22192,373
90059E,16
84968C,106
35599D,34
85129D,66
84913B,86
20684,39
18097A,5
72232,66
84877D,22
21653,1
84569D,100
20980,22
21713,167
85035c,1
22228,149
21420,21
90125D,19
21378,34
21459,21
84966A,1
84968d,3
84535A,24
22468,155
22384,1137
22418,327
90018A,38
20798,7
21987,178
22986,156
20759,21
22250,150
21933,425
35651,60
90030B,25
84816,16
84666,5
84613A,4
90123A,9
90064B,8
84796A,43
22661,425
90129F,16
90200B,48
17129F,58
35916B,33
21030,35
22525,77
22891,190
90210C,11
84882,18
20871,1
85088,53
23231,260
84632,6
22969,655
21816,9
22087,346
20718,586
85132C,217
84968D,56
17096,26
84951A,95
85195,4
22929,15
20785,6
20864,1
84964B,1
22038,19
84880,82
22739,327
22554,729
21488,18
22973,151
22822,161
21354,97
20846,90
22078,203
90054,9
79163,42
72128,36
72802A,72
90162B,11
47579,2
79190A,64
21289,51
21222,76
21792,79
22881,34
84596g,1
22810,173
22921,216
22943,225
84945,372
35971,93
21174,550
22308,105
22175,175
16225,104
47586A,8
35646,96
90000B,7
90003B,11
21636,81
48185,372
22964,391
22754,270
22755,256
85232B,22
21668,458
22304,62
22841,224
22248,114
90129D,7
71050,6
23184,270
23159,234
22098,186
21824,123
22141,473
85184C,197
22713,224
22092,93
22162,98
22203,148
35598D,43
21351,39
22440,163
21393,9
22509,90
21626,106
90086,28
71403,34
84665,21
85031A,7
85040a,21
37423,4
21791,617
21258,185
22185,166
22190,117
20840,77
21424,76
22984,165
22157,12
85131C,50
85118,14
84989A,20
85206B,4
22127,25
22531,203
37343,14
22301,270
90214D,32
M,571
22393,74
22668,351
47422,59
22683,130
84974,29
21916,367
22829,115
22734,447
84923,98
21704,252
85034A,88
85216,8
21026,71
85025B,40
16169K,9
84251G,53
85160a,1
35972,19
23230,239
90187A,1
21891,452
22511,55
84836,552
47599B,120
84563A,37
85136A,56
21879,96
20975,378
22343,96
22655,47
21361,73
72349b,82
47503H,43
78034B,7
46000P,6
21336,10
85173,88
20666,18
22722,872
75011,12
90095,1
84859C,23
72793,1
22136,89
22763,112
21200,75
72801G,15
22608,146
40003,16
21763,7
47578A,49
90013D,3
20756,23
84279B,77
85028S,10
90152C,1
22992,367
22326,764
37370,174
84519A,88
85183B,119
22646,406
22627,382
20711,534
22741,237
17012D,99
21875,154
22897,218
21918,378
90196A,5
35001G,33
20910,4
90128B,2
90074,3
15044D,87
71215,2
21946,25
85089,6
17084A,7
22993,1111
22191,441
22338,189
84970L,460
21866,197
20669,102
22241,247
22974,216
22572,187
20761,66
82616C,86
79191B,31
90214F,15
90053,4
82011B,21
46776C,59
21316,18
84951B,83
35920,16
84251F,1
23003,55
20754,310
22361,279
21881,79
22439,207
15056p,26
84963A,1
35833G,2
17007B,3
20763,27
16045,71
35443,6
84509b,4
35909B,2
84849B,77
21992,454
22653,256
22076,227
37461,3
84670,1
21360,17
84826,38
20757,36
21500,213
21642,111
22073,76
22050,43
84968a,3
22286,119
85160A,2
85110,1
47591d,56
22968,203
84030E,346
22737,269
21935,532
22345,75
35818P,20
20733,209
22640,58
90214S,41
21128,36
21700,204
85053,344
35958,5
90059A,28
90208,38
22206,5
21270,36
90190A,10
84227,3
23182,452
84991,871
21041,266
21333,16
22965,244
20682,248
21472,40
21059,95
22693,307
AMAZONFEE,34
37467,20
84968e,6
35817P,3
21402,93
21757,3
85018B,1
D,77
22533,92
22090,812
84946,946
90166,15
22061,162
72130,28
22671,146
21311,59
85230E,26
72801d,44
22046,77
72759,1
22900,564
21743,53
21718,232
22041,369
22376,126
22614,228
72817,168
21467,106
22025,134
20653,33
22208,293
90138,7
22365,184
21206,112
22959,148
20960,10
22606,157
84660B,41
20704,45
84660A,47
22257,44
90144,14
90165B,18
90024F,4
90027C,5
47590b,9
21523,506
21340,301
20749,394
22650,148
22603,179
21441,62
22757,165
20839,106
21864,188
22342,130
72127,33
21129,28
84614A,2
84874B,15
22691,123
90089,10
22258,79
90136,2
15044A,104
79192A,3
84708B,20
84969,214
22242,40
21678,32
22274,276
22688,35
22155,153
85177,65
90214R,25
22503,37
21531,264
22167,162
21294,76
40005B,4
90201A,29
22103,31
85189,5
84465,8
23180,50
21907,373
22952,653
22481,132
22445,138
21990,376
22437,231
16236,136
21670,390
21538,3
21100,28
84247N,18
37474,3
71279,45
47481,24
22528,2
22857,65
84546,1
21368,34
44092B,5
10080,24
22736,232
21716,247
47599A,168
85071C,106
72816,73
35967,67
85227,237
90177C,15
35810B,30
46118,46
90101,18
21204,85
90001C,5
22868,21
35810A,78
84795C,2
90025D,3
22161,363
90129A,20
21195,83
10135,180
85124C,40
21025,56
84531A,32
90169,12
21145,10
21043,93
35912B,20
20795,13
84803A,1
22386,1251
22556,591
22945,184
21664,21
21911,33
85032D,97
22806,38
16012,37
47021G,29
90167,2
21693,53
21618,100
21028,58
22883,33
21285,44
90126A,1
20694,18
90011E,3
21457,25
DCGSSGIRL,13
90182B,5
22299,83
21262,83
84828,189
21624,100
21905,161
20802,65
71495B,8
21386,56
85035b,1
35910A,4
84847,14
79336,5
22866,590
84375,533
21065,94
22570,403
22569,359
35591T,5
21976,408
72818,83
20712,878
47591B,59
82613D,113
47594A,55
21807,37
22233,113
21001,51
84799,13
90160A,16
22970,328
21747,55
22066,146
20933,10
84805A,5
84593,3
22464,371
21588,139
22207,213
47593B,247
90214G,30
22592,137
90013A,33
10002,73
20727,1350
20773,26
22227,303
85017A,12
21216,449
21758,33
72803A,46
21936,546
22563,292
22894,123
85202,116
90212B,8
37462E,12
71038,53
85049d,2
22914,160
21786,237
82578,310
16237,298
22534,267
47421,64
35471D,236
85017B,163
22581,185
21927,109
21219,90
90151,4
84898F,21
21306,47
85027L,20
20903,57
84507B,23
37468,16
85231g,6
20821,9
21733,773
21915,677
17011F,8
20770,73
22602,283
85040B,40
21882,73
22132,155
84596L,174
22280,97
22510,43
79071B,12
21332,14
17028J,1
44089C,6
84559D,1
22557,589
84992,650
21738,27
22271,311
22548,216
72598,95
90077,3
21769,3
90002D,10
90141A,10
21054,31
22860,113
85093,89
72351B,192
22710,106
21628,35
85232A,31
23155,152
22827,31
22951,458
21591,160
22847,409
48111,238
21761,11
21002,66
84559B,58
90013B,31
22045,212
22808,76
22279,134
21615,140
84510a,40
22214,56
22351,3
22064,266
22296,333
22714,226
22988,443
90059C,11
22918,247
84944,93
22156,276
22476,128
84031A,167
22863,115
22977,138
35964,103
84856L,3
20766,60
48173c,7
20762,56
22880,33
84843,50
90042A,2
22979,395
85145,15
85049b,2
84029E,452
21115,166
22730,594
22630,881
22594,198
22731,145
22355,912
21365,54
22579,355
22420,129
22898,372
20984,183
85111,61
20695,4
22874,22
21476,24
35991,1
22980,303
21724,81
21914,615
22927,158
85104,19
21381,232
21539,261
21095,16
22933,125
90011D,3
90108,13
22095,157
84535B,159
17012B,87
21191,95
84870B,26
21558,427
22414,100
84507C,32
21644,38
22263,55
35911A,71
90000C,1
35603B,1
22176,122
22835,679
71406C,21
21843,585
20971,538
22324,75
90161C,50
20845,11
90123D,5
22493,228
16161P,250
84660C,47
22137,14
72051S,16
20847,18
90040C,10
16008,71
22289,37
90206A,9
90181A,7
22169,390
22348,364
22949,108
72799E,79
20996,229
20765,61
85214,60
84006,107
85014b,23
22105,34
20661,33
18094C,43
47348A,15
20954,3
90178B,1
47013A,5
21839,2
81953P,4
84509F,1
47580,114
21314,585
22183,131
22942,166
20973,375
85114B,79
21982,372
82613C,98
17003,245
22536,162
90040B,11
84658,24
85204,108
90059D,20
16206B,2
21681,3
84802B,2
22623,243
22540,93
22961,1182
90200C,29
22151,345
21197,28
22336,86
90209B,57
22846,296
22853,117
22346,61
22062,87
21371,38
21320,23
22659,750
90059B,11
22769,11
22350,125
22562,217
21224,169
22306,119
51020A,20
21291,52
22051,41
21246,100
22872,30
22764,5
82095,31
23004,231
22752,389
21192,94
22802,50
22696,159
37491A,4
47471,41
21561,217
21391,115
90056,4
35809A,65
90037B,5
23128,144
21126,128
22328,611
22357,192
21469,91
21809,126
20893,30
85203,133
90114,88
37489C,8
22307,80
85208,50
35597A,2
84916,30
90165A,15
82613A,20
85231b,3
84509a,68
21898,28
22411,1202
22196,489
22558,792
22804,496
90185C,13
22735,141
22550,222
21641,50
84519B,128
90152B,2
90184C,17
37340,139
21264,51
21160,2
90112,2
21278,11
90079,4
79172D,1
21212,1385
21116,260
20866,93
22171,406
17012C,87
21313,226
21109,118
90024C,3
21504,117
85126,4
22532,75
20758,46
85018C,1
84872A,36
84800S,11
71496B,4
48187,608
21242,311
22582,105
22635,204
21781,112
84596J,70
90161B,37
90192,26
85106,24
21677,120
22079,334
22093,168
22656,27
21633,43
90027D,6
44091A,5
84306,11
37477D,1
84950,126
22544,180
21068,202
22616,531
22031,81
22101,70
90198A,44
82605,5
90210D,9
85161,22
47589,5
20698,9
84801B,4
90098,11
23051,164
84086B,9
20992,294
21676,61
22565,150
16016,65
85136C,37
21775,140
84846A,15
84559a,22
22830,8
84596F,452
37479P,37
20892,6
20618,76
20830,38
90133,13
90037A,1
35645,5
22848,140
22904,279
22094,214
22037,359
21217,352
21721,35
84870C,28
84562A,5
77101A,25
21943,50
35597B,1
84558a,5
21418,26
85211,30
72801c,25
20738,1
23126,304
82482,1129
85014A,280
21651,14
85035B,72
22911,99
21993,433
90120C,22
22313,68
21415,48
90115,31
85032C,144
22885,29
85086A,53
85194L,77
84231,21
23186,73
23008,139
21169,470
22955,140
22378,296
22331,185
22849,139
21973,32
84313B,40
22852,127
85163B,37
90038C,4
22413,422
22759,444
20750,391
21790,944
46000M,145
22825,29
17084N,101
21547,24
22446,136
85036b,1
16218,64
22021,74
84840,10
90085,10
22679,161
90060B,1
90035A,4
82613b,4
84689,3
79063C,15
23176,239
22382,1192
21867,134
72799F,33
90194,10
22283,158
22409,59
22746,335
21518,39
21902,218
84952B,30
21039,92
22163,127
84661B,29
35970,477
90201B,25
85020,22
16248B,8
22111,798
84709B,12
20726,1061
22975,189
21367,43
20835,8
16168M,42
84459B,95
90081A,8
22985,99
84952C,15
22275,1
22060,45
84459A,98
84912A,76
21318,57
16216,45
90210A,10
90057,23
90122C,11
22502,484
48129,210
22561,449
90161A,21
46775D,42
90214A,56
22023,149
85049B,16
90196B,5
22252,72
21089,26
15056n,84
21442,60
84750B,14
DCGS0069,2
23181,86
35650,2
21506,327
84625A,44
22580,253
21774,188
22399,101
22246,91
22499,412
21719,59
22210,195
85025C,44
90185D,11
90073,18
85109,1
47341A,7
22435,276
22815,269
21055,108
22419,282
21877,370
21251,46
22230,108
22720,1477
22040,28
84926F,29
gift_0001_30,8
21655,6
84905,22
21805,1
DCGS0057,1
47502,1
21986,191
35095B,98
21634,29
21356,153
90177E,10
22220,96
71143,39
79190D,47
20803,44
90179C,6
16169P,3
81950V,8
22886,25
35819B,32
90059F,15
90130D,3
84990,5
21890,244
22643,50
22091,173
22613,148
22682,122
16219,101
84600,26
90012A,6
90152A,5
72807a,5
21087,18
22631,411
22428,118
20982,266
20676,459
51014C,182
22412,153
84872a,21
85169A,90
85018D,7
84508C,27
84522,13
21680,103
22218,2
21707,74
85031C,2
84569C,2
22068,149
21106,54
22634,250
21873,123
21851,63
85178,147
47590B,402
90018B,17
21239,313
37489B,12
21555,70
84921,8
90019C,11
90087,25
90125B,12
90067A,7
85180A,65
85159B,72
16207B,20
22441,228
84031B,147
90010B,8
S,63
22823,15
35910B,3
21695,42
21755,656
35610A,4
85186A,81
37446,206
21820,99
22673,135
21172,484
90195B,4
22288,63
46776A,70
21666,43
20906,3
22538,41
22824,44
35004P,2
85135A,11
21088,104
22998,557
22981,111
47563B,1
21033,308
21479,519
22672,224
21428,269
15060B,134
84970l,50
85230B,39
22820,79
85103,30
21124,249
21358,109
21620,175
21188,51
35965,83
84663A,40
20677,340
90082B,13
21578,134
90028,14
22700,58
90175D,20
22826,45
90154,5
84661A,20
21460,11
37379A,2
22926,206
22488,427
90214M,28
22199,170
22104,59
90010E,16
79144C,52
37444B,5
DCGS0003,5
90012B,4
21793,76
84249A,29
90119,37
82567,294
21494,322
22333,334
22916,246
22876,20
21447,152
21623,228
22882,43
90214I,13
21162,165
20932,37
20851,8
16259,33
35015,1
22783,34
82581,411
21899,290
79067,40
21215,128
40016,100
85054,123
90147,24
20793,6
16162L,10
23009,103
21913,150
37444A,23
22819,270
48138,627
21928,823
84279P,139
21629,44
16235,170
17107D,47
21375,29
22935,66
20778,10
17001,1
21637,7
90014C,5
20679,330
22553,593
22775,257
22818,249
20696,30
37450,151
90211A,8
21465,79
72802B,91
90036D,5
84510E,16
84817,62
84919,30
35957,44
84536B,181
21563,159
20681,51
21682,58
20659,65
84568,148
72351a,12
90170,38
35832,1
DCGS0074,1
35649,37
22729,474
22112,889
85231B,155
22119,114
21564,126
22400,160
22405,73
20657,33
84968A,102
47369A,20
90132,3
90183B,17
21720,8
84569A,66
90175B,9
21454,140
23077,348
21094,532
22774,146
22803,31
22467,731
22567,238
22359,88
22479,98
21917,230
16156S,168
21508,215
22395,33
21275,17
35241,45
84875B,20
84798A,5
46776D,37
90125E,10
35913B,11
85132c,3
35824B,1
22310,111
22925,192
20658,110
21134,1
22753,220
21698,45
22325,100
22443,94
20886,108
16015,27
90160B,12
71495A,8
84877B,22
90039A,3
72140F,1
23348,188
22767,235
48194,599
22096,127
20772,66
21981,277
22758,181
17012E,11
21813,115
84559A,94
90175C,6
21903,184
22403,128
16010,4
22520,120
22293,129
84192,28
22410,58
20701,20
84967A,1
20850,1
21977,896
22798,285
72802C,117
21802,184
21821,64
85127,55
90071,33
BANK CHARGES,37
37489D,17
35916A,30
21226,21
90060D,3
22889,35
90202C,15
85170B,40
20848,8
22109,307
22273,344
22695,125
22142,393
90200D,79
21263,46
22072,181
90062,27
20781,29
22329,243
21120,2
16054,34
20670,11
85183A,90
84575A,5
22871,25
47585A,83
84406B,296
21672,426
84744,20
84509A,233
22453,83
85199S,275
84536A,346
21366,47
15056P,150
90124B,11
85061W,178
90096,27
37333,20
21293,25
84597B,7
37342,115
84907,24
22465,209
21154,463
21814,19
21662,28
90003C,25
21147,81
21269,20
22861,50
21196,14
DCGSSBOY,11
84997B,377
84032B,262
85049H,188
72133,17
10124G,4
85124B,40
20748,36
10124A,5
22535,138
90104,14
22211,203
90005A,12
16202E,4
85141,48
84859A,36
21503,26
84966B,1
84858C,8
21463,144
21070,109
21369,16
22166,89
84596G,251
21202,26
20771,41
79051A,45
84925F,16
85180B,48
15058B,100
90125A,10
37351,2
21520,59
21888,389
22948,147
20957,1
46776B,88
22448,45
22027,369
21155,506
47369B,22
22931,132
90039B,6
90146,7
84997a,65
90084,2
16161G,22
22771,458
22188,191
22837,195
22610,218
22966,693
90051,7
18098c,12
20998,70
22223,79
21736,9
22879,16
90011B,7
22851,363
84949,329
22750,428
16258A,60
22944,117
22390,37
21595,3
90184A,9
84926E,40
90125C,7
21461,9
DCGS0055,1
90157,5
84007,1
21533,361
84378,700
21135,189
22862,70
20780,30
22718,172
22284,138
85035A,91
22621,625
90140,2
21171,74
22513,68
90019A,27
90214K,38
21382,132
72814,1
22887,23
85188B,11
21458,36
90202B,11
62074B,4
22117,96
21244,202
21577,177
84947,371
21427,44
22539,141
21878,231
82001S,132
21445,25
84563B,42
22353,28
90201D,31
21661,6
22259,45
84800L,25
90016A,7
44265,3
90124C,8
16254,18
22745,436
21739,113
22899,320
22651,170
22173,509
72741,303
84509B,80
22332,154
72801C,20
79151B,2
21847,33
22322,140
22319,64
90155,7
21096,105
22941,333
22451,58
21326,355
21292,28
22069,148
90214J,41
84915,23
90181B,14
90187B,8
84620,1
35644,1
90001A,4
22114,660
22197,1476
85049C,231
85099F,842
21486,12
21012,203
17084P,39
21673,386
22504,72
21205,75
20652,84
16011,47
37475,44
21972,67
47594B,59
71270,53
21166,746
85152,688
22530,239
21329,291
22485,212
21822,108
90214H,30
20752,154
22028,267
21392,9
84925D,11
21828,87
47559b,28
90141B,5
90120A,3
72815,4
90163A,9
84617,3
21897,5
82484,698
22297,389
22583,115
22471,107
18098C,55
20950,1
16046,18
21530,113
21723,61
90183A,24
21827,4
90185A,14
47593A,15
84455,1
90016B,19
62096B,3
47013C,14
22780,142
21471,168
21056,74
35095A,100
20735,114
22855,241
85008,11
72760B,156
20769,34
84796B,126
22110,290
22645,363
70007,113
10120,30
90060F,6
90200E,44
84975,3
20663,20
85006,10
90141C,8
79323B,4
84745A,5
47469,20
84526,1
22991,287
22622,272
22189,536
22178,1072
22120,193
21038,25
22814,236
22430,212
21165,460
21374,46
20700,55
21281,15
22170,270
79164,27
22877,20
85130A,11
21167,68
37482P,51
20857,10
17165D,9
90078,1
72812,11
84548,8
84875A,1
20725,1639
21156,369
22624,741
22639,152
22514,105
22216,68
16161U,135
84078A,163
20775,67
22873,26
22048,33
90027B,3
21198,74
47518f,5
84226,11
44236,9
21274,1
22128,80
48173C,195
C2,144
21018,8
22578,536
21398,64
85175,154
85039a,29
22908,389
85078,125
51020B,17
85062,164
79329,3
21425,30
90202A,16
21394,138
21084,185
22982,215
23127,200
21754,806
22727,1107
84832,274
22549,363
21895,3
21218,409
21279,31
72134,11
21422,66
21849,69
22334,102
90010A,16
20829,206
84802A,2
84927E,16
75178,13
85098B,2
22644,283
20717,420
22738,283
21462,73
22870,41
21078,319
21932,457
22362,144
84795B,48
21750,25
79191D,17
90024B,7
22778,168
84380,707
21880,242
22472,112
22642,53
22625,578
20867,63
