StockCode,month,monthly_sales
84596F,12,253
90177D,12,4
79191D,12,5
84813,1,35
22377,1,506
22069,1,17
POST,1,1242
90030B,1,1
84581,1,24
22807,1,54
90123C,1,3
90038B,1,2
84507C,1,2
20932,1,4
21319,2,12
21906,2,17
21988,2,325
22622,2,23
22035,2,138
22052,2,100
22602,2,69
22873,2,10
84751B,2,2
79030G,2,18
22709,2,75
21708,2,8
22943,2,0
20780,2,1
22395,2,1
22585,3,692
21210,3,738
47481,3,158
22791,3,307
21238,3,528
21326,3,272
22482,3,-43
84596B,3,209
22635,3,82
21320,3,50
20802,3,94
21224,3,56
90014A,3,4
85020,3,7
47344B,3,3
21647,3,24
79160,4,2
82483,4,103
22775,4,339
22437,4,86
21382,4,30
72781,4,-30
46000M,4,58
22703,4,6
22707,4,125
46776F,4,18
85141,4,46
21871,12,453
22261,12,20
22088,12,51
37476,12,-3
22725,12,215
21031,12,15
85014a,12,4
37489C,12,1
20771,12,8
22700,12,155
22254,12,72
21562,12,14
85066,1,158
22322,1,273
21422,1,131
20985,1,304
84562A,1,1
21741,1,5
16162L,1,1
22760,1,41
20697,1,1
21814,1,1
20675,2,360
22092,2,14
21333,2,5
22792,2,55
84536a,2,2
44265,2,2
22742,2,7
90000A,2,2
21527,3,13
22654,3,246
22798,3,67
47599A,3,188
84688,3,7
22439,3,175
22141,3,2
21066,3,24
84534B,3,-10
22722,4,334
22979,4,318
22699,4,587
22440,4,2644
40016,4,182
72130,4,28
21084,4,496
22359,4,37
79336,4,-47
22566,12,158
21651,12,192
22737,12,210
22688,12,38
22567,12,457
20941,12,-13
20769,12,11
90175B,12,1
90169,12,4
85170A,12,2
90214K,12,32
22063,12,226
90027B,12,1
21706,1,72
84509E,1,15
90173,1,3
21400,1,13
35644,1,-1
22374,2,34
22487,2,64
84879,2,1667
17084R,2,144
21481,2,101
22367,2,230
21219,2,26
71403,2,4
72780,2,16
79163,2,4
21904,2,3
84809A,2,2
21695,2,9
47518F,2,24
84509c,2,1
15058A,3,29
22636,3,53
22496,3,6
85040B,3,40
22430,3,39
35971,3,21
22096,3,1
47422,3,8
90036F,3,4
22198,3,-9
21364,3,2
22520,4,201
22920,4,207
84880,4,27
22467,4,341
21244,4,127
22822,4,66
85169C,4,176
22771,4,687
22712,4,252
85017B,4,90
21068,12,358
20966,12,248
22909,12,1597
22152,12,189
22024,12,199
21067,12,45
90138,12,2
22332,12,41
22689,12,-11
21535,12,290
51020B,12,10
72819,12,87
21736,12,36
21747,12,1
22555,1,281
21935,1,405
21578,1,98
AMAZONFEE,1,-2
22245,1,451
22497,1,36
22269,1,39
22929,1,3
21944,1,43
20869,1,8
21424,1,75
22618,1,9
22132,2,53
35961,2,407
37449,2,52
21027,2,19
85025C,2,26
84708B,2,4
16161P,2,400
22047,2,225
22247,2,90
21427,2,1
21726,2,11
22691,2,28
84313C,2,1
90160A,2,7
90018A,2,3
22256,3,141
84968D,3,20
35920,3,13
22079,3,141
21231,3,322
22667,3,261
85114B,3,23
22662,3,751
21986,3,200
84509a,3,14
35911B,3,102
37444A,3,24
21220,3,10
22492,4,1556
22379,4,431
21820,4,-3
22109,4,57
21147,2,1
22867,12,2346
20727,12,838
22829,12,11
21427,12,17
21070,12,24
22846,12,59
21462,12,99
22504,12,71
21468,12,14
82011B,12,1
84563B,12,2
20659,12,24
21812,12,52
84975,12,5
90001C,12,1
85211,12,7
85180A,12,148
21519,1,272
85169C,1,165
84251C,1,89
22041,1,198
21619,1,77
22643,1,54
22567,1,77
90175A,1,1
22364,1,62
22607,1,41
22492,1,1913
84030e,1,19
22593,1,4
90039B,1,2
84882,1,1
22532,1,2
21662,1,3
72801c,1,5
35637C,1,1
22847,2,12
21462,2,10
48187,2,108
20726,2,424
22451,2,4
22513,2,11
21211,2,56
22405,2,15
22675,2,104
22232,2,52
20998,2,8
85216,2,6
20758,2,9
21620,2,1
35915B,3,173
22178,3,2704
22652,3,328
22169,3,88
22569,3,337
21745,3,75
90200B,3,4
82581,3,550
90158,3,6
21206,3,151
22244,3,152
35913B,3,18
72709,3,9
22208,3,17
22407,3,3
90016B,3,1
21722,3,2
22163,3,1
21240,4,223
22595,4,158
22443,4,19
21441,4,60
21086,4,664
85049G,4,97
23178,4,28
22317,4,26
35637C,2,2
22568,4,109
22960,12,838
21467,12,8
85199L,12,162
22071,12,32
90018A,12,8
20854,12,61
20969,12,143
21114,12,123
85039a,12,4
84534b,12,2
90141A,12,1
22656,12,7
90152A,12,1
48187,1,255
21240,1,514
21931,1,987
22478,1,44
22329,1,111
21710,1,13
22395,1,12
22696,1,61
22600,1,8
84199,1,9
21386,1,28
85027L,1,1
21257,2,28
22861,2,115
22192,2,58
21535,2,136
15056P,2,25
22723,2,200
21240,2,475
21775,2,24
21669,2,620
21684,2,362
20857,2,6
90036D,2,1
17012B,2,98
21784,2,4
22708,3,375
22964,3,406
21832,3,63
15058C,3,14
22481,3,20
22105,3,2
85127,3,18
84596G,4,398
22994,4,405
22409,4,28
22820,4,43
20719,4,583
22244,4,221
21274,4,-3
POST,12,336
22086,12,4542
84997C,12,280
84971S,12,215
21479,12,2483
22920,12,121
72800B,12,65
21143,12,272
21231,12,834
22863,12,104
22023,12,119
22609,12,413
16218,12,113
15056n,12,11
84558a,12,4
90184B,12,10
DCGS0076,12,3
84596B,1,235
22309,1,25
22931,1,328
85049A,1,-7
C2,1,3
22631,1,150
21318,1,27
22921,1,78
79191B,1,25
84508A,1,1
22260,1,52
84660c,1,1
20980,1,-5
20679,2,76
22343,2,54
21125,2,53
85144,2,5
85180A,2,19
21051,2,7
20932,2,9
82011A,2,2
21692,2,6
22321,3,208
84968C,3,16
21463,3,32
84988,3,3635
22711,3,275
22844,3,120
21908,3,196
23232,3,525
84806B,3,24
22893,3,120
22217,3,15
21686,3,6
70006,3,24
35015,4,-9
21257,12,121
22669,12,116
90071,12,8
90116,12,17
90214D,12,29
22892,12,184
21537,12,60
22524,12,31
47566b,12,8
21650,12,258
22770,12,8
22521,12,4
22498,12,12
85018C,12,3
85230F,1,72
22169,1,82
82001S,1,166
21518,1,123
21991,1,46
84596J,1,68
21870,1,173
72760B,1,55
22123,1,6
90214K,1,15
22312,1,68
22176,1,64
90214M,1,8
20758,1,6
16033,1,120
20910,1,-1
21832,2,75
21982,2,1450
47591d,2,8
22874,2,8
84531A,2,5
90214E,2,1
22260,3,213
22112,3,53
22302,3,278
21200,3,48
17107D,3,7
20845,3,6
22315,3,30
90169,3,1
22385,4,428
21703,4,1139
22549,4,119
84032A,4,4
22835,4,34
17096,4,144
21933,3,42
22972,12,232
22183,12,47
21588,12,296
22430,12,17
22802,12,40
17014A,12,25
21988,12,57
22426,12,27
10120,12,22
84673B,12,12
21397,12,15
16169K,12,25
21001,12,12
16008,12,350
22501,1,6
20702,1,11
22411,1,517
21640,1,53
20677,1,274
82613B,1,201
22587,1,33
21955,1,68
16169M,1,50
20665,1,24
17021,1,606
22940,1,-11
84806B,1,6
90214H,1,3
90160A,1,2
90012A,1,1
84536A,2,73
22417,2,722
21121,2,491
16016,2,323
22156,2,161
22220,2,16
22750,2,91
84723,2,1
79062D,2,972
20782,2,5
21441,2,30
90200A,2,6
22857,3,423
47585A,3,34
21523,3,153
84898F,3,18
22259,3,56
22258,3,136
22981,3,47
10120,3,29
22695,3,16
22062,3,107
22124,3,1
22059,4,120
22375,4,30
21059,4,21
21967,4,156
20966,4,-2
21416,3,1
20770,4,8
22139,12,309
21166,12,1450
22827,12,3
22775,12,253
84945,12,2145
22244,12,100
82613D,12,193
20619,12,56
20752,12,65
21594,12,1
90018B,12,4
22924,12,262
84614A,12,2
84968A,12,20
85040A,12,29
72803B,12,1
20848,12,4
84795b,12,2
22261,1,113
21407,1,38
22602,1,3
84012,1,211
22297,1,285
22799,1,17
22549,1,68
22362,1,131
22228,1,116
85232B,1,-6
72801D,1,2
37444A,1,2
35916B,1,15
90016B,1,1
22835,2,65
22191,2,66
22457,2,518
82580,2,504
82613C,2,14
22245,2,227
21981,2,572
22650,2,59
22991,2,273
21205,2,4
21721,2,4
22565,3,115
85231G,3,58
21931,3,1280
21090,3,77
22973,3,101
79191D,3,5
51020A,3,25
22547,3,74
90212C,3,1
72799E,3,6
44089A,3,1
22464,4,318
21901,4,238
35001G,4,5
22613,4,47
22212,4,315
72800D,4,4
22530,4,163
47310M,4,46
22425,4,32
21108,4,31
20686,4,7
21802,4,18
21577,12,87
21486,12,-41
21355,12,192
22223,12,120
37340,12,52
35968,12,24
22055,12,341
90160D,12,2
16207A,12,2
84457,12,12
22545,1,11
22839,1,24
22535,1,33
21680,1,73
90185B,1,1
90095,1,-1
71496B,1,4
48116,2,33
22134,2,23
84406B,2,248
20719,2,887
21001,2,7
20619,2,17
20996,2,44
21914,2,164
84029E,2,39
82095,2,4
35921,2,20
84597C,2,17
22411,3,1011
21843,3,130
21683,3,21
22746,3,236
22944,3,11
84226,3,5
22035,3,273
85159B,3,26
21460,3,10
22389,3,14
22533,3,24
22537,3,308
21403,3,237
85200,3,21
22209,3,17
21698,3,14
85132A,3,22
90013D,3,2
84872a,3,4
21467,4,24
22413,12,1575
22618,12,30
21894,12,47
20973,12,602
22680,12,52
C2,12,14
22599,12,253
84870B,12,11
10124G,12,5
22452,12,150
90010A,12,3
21635,12,5
90034,12,1
85031A,12,3
85179C,12,23
22249,12,34
22961,1,1467
22952,1,-15
85152,1,209
79144C,1,12
21724,1,34
62018,1,38
37343,1,32
84569B,1,11
22529,1,2
85019C,1,30
90013C,1,3
22951,2,344
21815,2,1
35004B,2,124
22758,2,31
21871,2,287
22715,2,122
21992,2,44
22264,2,152
21086,2,760
22437,2,391
85114A,2,72
22098,2,6
79071B,2,1
90024F,2,2
22139,3,310
22176,3,57
22860,3,239
21430,3,245
35970,3,6
22031,3,39
21711,3,6
85175,3,-2105
22713,3,332
23179,3,146
15056n,3,10
21157,3,8
21161,3,7
79144B,3,3
85145,4,45
22230,4,16
21259,4,95
21089,4,6
22485,4,30
84522,4,-29
21724,12,49
21212,12,4535
22580,12,54
84836,12,599
21930,12,770
21818,12,353
22030,12,437
21745,12,93
22617,12,279
21027,12,-48
15034,12,47
85119,12,1
90012A,12,1
22487,1,38
85099F,1,1405
22093,1,-12
22335,1,81
84843,1,1
16238,1,58
90122B,1,1
90039A,1,1
21698,1,3
22185,1,7
72225C,1,24
21363,2,50
21792,2,12
15056N,2,276
20778,2,5
21877,2,96
22068,2,8
85035B,2,1
22477,2,57
84360,2,3
21200,2,17
79406,2,6
20894,2,1
35241,3,-16
22551,3,677
47559B,3,253
22255,3,73
23178,3,129
21851,3,8
79144C,3,4
21472,4,-132
22728,4,681
21989,4,75
22982,4,142
22620,4,427
22718,4,75
22709,4,100
21531,4,129
84795B,4,25
84199,4,6
22346,4,78
84743C,4,-26
22464,12,637
22851,12,129
84380,12,571
22743,12,289
22222,12,245
22185,12,334
22471,12,157
84598,12,85
21217,12,99
22882,12,28
84927F,12,21
85169A,12,195
84030e,12,50
84877D,12,30
90179C,12,2
90005A,12,11
84927D,12,1
90164A,12,7
20705,12,68
22540,1,184
21217,1,113
21408,1,4
21181,1,620
48138,1,216
22192,1,45
85199L,1,58
21936,1,145
35909A,1,1
79000,1,477
22422,1,51
21420,1,1
16206B,1,5
85049C,2,89
20914,2,345
22038,2,75
21399,2,14
22221,2,3
22293,2,76
21786,2,8
11001,2,26
16169M,2,100
85177,2,325
21465,2,30
21633,2,2
22091,2,2
90016A,2,1
90177C,2,3
21249,3,30
22606,3,26
21240,3,747
85099C,3,1866
21108,3,122
22326,3,506
22297,3,436
22802,3,4
85131C,3,15
22491,3,236
21417,3,31
21614,3,49
84660B,3,1
21239,4,210
22584,4,503
17107D,4,15
85094,4,102
21461,4,0
22995,3,244
22422,4,52
84029E,12,2240
21033,12,82
21710,12,5
22713,12,220
21804,12,34
22704,12,400
22517,12,14
90190C,12,6
17012D,12,63
20622,12,59
22678,12,69
20718,12,592
22084,12,97
90051,12,3
21011,12,0
90003B,12,2
22291,12,72
22522,12,16
20869,12,17
22151,1,771
22241,1,331
20655,1,41
21497,1,275
85071A,1,-95
21026,1,77
21061,1,34
22285,1,113
22514,1,51
71053,1,61
21714,1,54
72818,1,4
22812,1,2
72807A,1,39
21462,1,5
23232,1,325
22680,2,89
84508A,2,146
22070,2,9
85054,2,9
21867,2,42
21918,2,307
84709B,2,5
84559b,2,2
84510E,2,2
22824,2,4
84596g,2,3
47341A,2,2
21973,2,1
21442,3,50
22437,3,201
22194,3,5
20762,3,12
17090D,3,2
85132a,3,4
22570,4,147
21154,4,126
21136,4,437
84987,4,340
15044D,4,28
35920,4,22
21880,4,79
21673,4,216
21628,4,6
84801A,4,12
21421,4,48
84847,3,3
90013A,3,2
84991,12,1724
20914,12,630
21678,12,10
22271,12,123
21591,12,185
22742,12,289
22485,12,37
22121,12,66
21055,12,37
21821,12,25
22675,12,107
35957,12,359
85177,12,133
22668,12,35
37450,12,66
85170D,12,102
90209C,12,17
21527,12,151
22986,12,200
21623,12,1130
22525,12,42
84884a,12,19
22811,12,194
85049a,12,180
21647,12,33
21336,12,1
21269,12,1
22824,12,2
22229,12,4
22102,12,6
21972,12,16
21400,12,10
85049g,12,14
84766,1,24
35648,1,118
21446,1,54
21677,1,134
84985A,1,16
22078,1,216
22114,1,3
21986,1,212
84970s,1,9
84231,1,16
84971S,2,199
21136,2,307
22241,2,324
47503H,2,2
21056,2,9
22317,2,33
22583,2,45
21038,2,0
22886,2,3
84913A,3,30
21399,3,743
84507C,3,4
22939,3,40
21781,3,1
22540,3,321
22800,3,204
90214F,3,2
21198,3,24
22305,3,236
84247K,3,49
22319,4,60
21137,4,245
21121,4,218
84569A,4,-12
16202E,4,15
84917,2,7
21172,3,352
22326,12,807
22469,12,1962
21622,12,54
84849B,12,46
21497,12,500
22315,12,78
79030G,12,3
DOT,12,71
22402,12,87
85232D,12,16
22181,12,68
21619,12,149
47367B,12,9
46776A,12,23
21089,12,2
16054,12,38
22446,1,81
21982,1,386
85048,1,7
22288,1,57
51014L,1,85
21723,1,59
79337,1,48
90116,1,10
47480,1,64
22703,1,47
90011A,1,2
35922,1,-23
15044A,1,20
21925,1,4
DCGS0072,1,-1
21372,1,1
90091,1,-1
22444,2,87
35004G,2,3
22356,2,628
48173C,2,41
21828,2,25
22703,2,8
22813,2,263
22465,2,29
84674,2,5
84989A,2,1
85040A,3,93
22962,3,575
84766,3,6
22698,3,316
22134,3,23
85132C,3,18
18007,3,37
22608,3,38
90204,3,1
S,3,-2
90182B,3,1
84691,3,2
35649,4,-35
85194L,4,167
21670,4,285
84843,4,23
20619,4,21
22203,4,30
21910,4,-1
20854,3,-2
20777,12,24
21742,12,27
21822,12,157
90214E,12,36
90195A,12,13
79191B,12,20
21413,12,10
16219,12,-13
21376,12,9
20849,12,1
20868,12,48
85135A,12,1
85123A,1,5522
84378,1,1096
22763,1,26
22166,1,11
22212,1,142
22616,1,465
22729,1,116
22031,1,123
21623,1,24
79071B,1,5
20752,1,53
79190D,1,6
22784,1,54
22705,1,102
22440,1,71
84915,1,16
22083,2,246
21411,2,40
22860,2,168
22553,2,170
22268,2,225
22913,2,40
20723,2,522
85123A,3,1982
22168,3,48
22706,3,75
22676,3,135
21873,3,76
21471,3,68
21758,3,6
21547,3,5
22100,3,1
21628,3,1
22662,4,556
21043,4,171
22091,4,68
22811,4,17
23155,4,367
23002,4,239
85178,4,90
21934,4,124
22165,4,13
21199,4,50
22243,4,198
85020,4,4
84029E,4,5
21174,3,223
84663A,3,1
22100,12,127
48129,12,43
21448,12,17
21358,12,73
90022,12,11
84870C,12,8
22308,12,42
21205,12,20
90214I,12,16
22903,12,62
21410,12,1
DCGS0003,12,2
22033,12,48
90177B,12,5
84499,12,1
21790,1,423
22223,1,129
17012F,1,12
47585A,1,88
21819,1,1
85232A,1,17
21377,1,7
22629,1,1445
22341,1,105
85040a,1,3
21124,2,479
84978,2,899
21217,2,127
21354,2,154
21244,2,215
22700,2,72
21163,2,30
75049L,2,327
22408,2,5
20681,2,34
21135,2,105
21106,2,14
22448,2,1
90157,2,1
22714,3,421
22078,3,111
22028,3,172
22794,3,38
22485,3,46
22322,3,195
85008,3,4
22403,3,25
85184C,3,10
22518,3,69
90038B,3,6
22811,3,14
35823P,3,-12
84549,3,3
21280,3,6
85144,4,125
23179,4,54
20724,4,877
22819,4,77
47504K,4,25
15058A,4,18
37482P,4,122
22424,12,66
22468,12,63
21135,12,164
21147,12,25
22061,12,243
22808,12,63
51020A,12,7
22873,12,8
22232,12,65
85095,1,51
84711B,1,3
22352,1,152
22986,1,400
22294,1,308
22857,1,244
22820,1,82
21188,1,47
84673A,1,2
22108,1,17
90158,1,2
40046A,1,3
21166,2,447
84279P,2,14
22728,2,242
21159,2,18
22896,2,199
22840,2,73
16010,2,12
21761,2,1
47591D,2,205
22942,2,-3
35810B,2,6
21014,2,1
22210,2,1
21089,2,2
84673B,3,53
20972,3,598
84459A,3,280
20983,3,184
22400,3,44
22085,3,117
21833,3,34
72821,3,-2
90014C,3,1
21242,4,228
23177,4,115
23181,4,21
22149,4,453
22564,4,368
21930,4,149
22026,4,153
35648,4,17
22170,4,53
16258A,4,10
22421,4,56
84592,4,5
22067,2,24
22274,12,146
22650,12,116
22614,12,263
22479,12,20
22497,12,35
21908,12,511
47590A,12,85
90161B,12,18
21581,12,20
72232,12,350
21829,12,271
35607A,12,24
21901,1,89
22072,1,59
16236,1,122
35004C,1,61
22869,1,3
21380,1,103
85014A,1,150
22091,1,82
71477,1,2
72802C,1,42
20764,1,11
84974,2,6
22894,2,40
16238,2,54
22409,2,3
22827,2,7
22547,2,82
22209,2,13
21655,2,19
22649,3,71
90122B,3,1
21784,3,6
22894,3,30
85177,3,56
22318,4,40
22327,4,48
22690,4,55
22349,4,30
35809A,4,86
21281,4,-26
22751,4,26
21035,12,251
22962,12,581
22910,12,2380
85049G,12,131
16258A,12,167
84558A,12,71
22712,12,333
22476,12,681
90214M,12,27
21769,12,11
22474,12,90
85185B,12,24
84925D,12,1
22647,12,238
35933,12,2
84945,1,372
85034C,1,100
22394,1,36
82580,1,464
20984,1,12
21122,1,260
22350,1,71
90147,1,1
21865,1,14
35916C,1,26
90180A,1,1
21977,2,1540
85206A,2,409
22202,2,-108
22518,2,90
22990,2,152
21456,2,58
84457,2,7
21518,2,24
20969,3,65
21086,3,943
22413,3,77
22495,3,14
21531,3,98
84913B,3,17
21913,3,29
22182,3,12
90040B,3,1
23054,3,44
21818,3,5
84991,4,2306
48116,4,57
22024,4,145
22858,4,135
22933,4,70
20906,4,2
85198,4,52
22953,2,16
22196,12,445
22927,12,52
22577,12,594
82551,12,139
85114A,12,164
21422,12,58
85132C,12,10
20984,12,17
20828,12,136
21531,12,133
22216,12,205
22884,12,28
84596b,12,7
84247L,12,16
85109,12,12
15056BL,1,193
22280,1,140
20866,1,157
21494,1,199
22627,1,59
22286,1,65
84637,1,8
20681,1,53
85049F,1,55
23166,1,0
85039a,1,1
21123,2,31
21673,2,487
21137,2,693
22916,2,151
22631,2,302
71279,2,14
22910,2,12
21636,2,6
84707B,2,1
20665,3,38
21935,3,153
22456,3,161
10123C,3,4
22075,3,1
21328,3,42
17091A,3,11
84997D,4,197
85197,4,13
21314,4,238
48184,4,94
22946,4,14
21058,4,29
23006,4,170
79190A,4,45
22332,4,35
22566,4,33
22174,4,55
35815P,4,-63
84631,2,-13
22476,3,8
22922,12,303
22603,12,195
22041,12,528
84569B,12,7
22666,12,928
21429,12,292
17003,12,1448
21189,12,113
22576,12,424
22563,12,442
21187,12,140
21132,12,6
21661,1,2
85034A,1,21
22933,1,247
21253,1,7
82551,1,178
21136,1,160
35972,1,1
90057,1,96
22061,1,34
16156L,1,50
22955,1,165
22675,1,56
22922,1,109
90013B,1,2
85114c,1,16
21132,1,4
21731,2,983
22788,2,30
84086C,2,7
22852,2,33
21509,2,453
21679,2,41
46000R,2,8
22985,2,1350
48189,2,5
35912B,2,19
72799F,2,3
79063D,2,101
22324,2,26
23002,2,113
22483,3,60
22189,3,660
22992,3,526
85197,3,40
21340,3,148
15034,3,123
21055,3,11
21135,3,151
21452,3,69
22891,3,33
37464,3,-2
85160A,3,-21
21258,3,-5
84884A,3,49
62074B,3,1
85183B,3,3
15030,3,155
23158,3,390
44235,3,2
22132,4,58
21700,4,143
22175,4,44
22745,4,120
21684,4,-56
22661,4,312
21637,4,-139
22277,4,9
21071,12,246
22865,12,1700
82581,12,247
85099F,12,755
